# RA/Dec offsets are in arcsec and absolute
# i.e., cos(Dec) projection has been considered.
#   >> dRA  =  RA_daofind -  RA_gaia
#   >> dDEC = DEC_daofind - DEC_gaia
# generated on 2026/04/08
expName N_match dRA dDEC dRA_err dDEC_err theta theta_err
jw01895002001_03101_00001_nrca 55 0.0017 0.0204 0.0015 0.0019 -0.0071 0.0009
jw01895002001_03101_00001_nrcb 83 0.0163 0.0106 0.0017 0.0025 -0.0036 0.0011
jw01895002001_03101_00002_nrca 59 0.0025 0.0170 0.0015 0.0017 -0.0066 0.0011
jw01895002001_03101_00002_nrcb 90 0.0170 0.0087 0.0017 0.0025 -0.0030 0.0012
jw01895002001_03101_00003_nrca 64 0.0024 0.0205 0.0012 0.0016 -0.0068 0.0011
jw01895002001_03101_00003_nrcb 93 0.0173 0.0152 0.0016 0.0022 -0.0029 0.0012
jw01895002001_03101_00004_nrca 64 0.0009 0.0182 0.0012 0.0016 -0.0065 0.0010
jw01895002001_03101_00004_nrcb 90 0.0138 0.0135 0.0015 0.0025 -0.0042 0.0011
jw01895002001_03103_00001_nrca 66 0.0023 0.0181 0.0014 0.0018 -0.0067 0.0012
jw01895002001_03103_00001_nrcb 87 0.0162 0.0135 0.0014 0.0024 -0.0033 0.0011
jw01895002001_03103_00002_nrca 65 0.0021 0.0149 0.0015 0.0018 -0.0069 0.0010
jw01895002001_03103_00002_nrcb 88 0.0165 0.0111 0.0014 0.0022 -0.0023 0.0011
jw01895002001_03103_00003_nrca 67 0.0013 0.0198 0.0013 0.0016 -0.0056 0.0009
jw01895002001_03103_00003_nrcb 93 0.0153 0.0168 0.0016 0.0021 -0.0023 0.0011
jw01895002001_03103_00004_nrca 67 -0.0013 0.0175 0.0012 0.0018 -0.0056 0.0010
jw01895002001_03103_00004_nrcb 89 0.0132 0.0149 0.0014 0.0023 -0.0029 0.0010
jw01895002002_02101_00001_nrca 104 -0.0084 0.0116 0.0012 0.0012 -0.0106 0.0007
jw01895002002_02101_00001_nrcb 74 0.0046 0.0212 0.0016 0.0016 -0.0038 0.0013
jw01895002002_02101_00002_nrca 92 -0.0078 0.0157 0.0013 0.0012 -0.0119 0.0008
jw01895002002_02101_00002_nrcb 73 0.0076 0.0255 0.0015 0.0017 -0.0016 0.0011
jw01895002002_02101_00003_nrca 95 -0.0113 0.0139 0.0011 0.0012 -0.0102 0.0007
jw01895002002_02101_00003_nrcb 74 0.0031 0.0233 0.0015 0.0016 -0.0035 0.0012
jw01895002002_02101_00004_nrca 111 -0.0117 0.0179 0.0011 0.0015 -0.0102 0.0008
jw01895002002_02101_00004_nrcb 73 0.0031 0.0281 0.0015 0.0017 -0.0036 0.0011
jw01895002002_02103_00001_nrca 104 -0.0080 0.0132 0.0012 0.0013 -0.0097 0.0007
jw01895002002_02103_00001_nrcb 73 0.0056 0.0197 0.0013 0.0016 -0.0040 0.0011
jw01895002002_02103_00002_nrca 90 -0.0082 0.0163 0.0013 0.0012 -0.0127 0.0008
jw01895002002_02103_00002_nrcb 73 0.0079 0.0255 0.0014 0.0015 -0.0023 0.0010
jw01895002002_02103_00003_nrca 97 -0.0099 0.0132 0.0011 0.0013 -0.0104 0.0008
jw01895002002_02103_00003_nrcb 82 0.0017 0.0237 0.0014 0.0017 -0.0015 0.0012
jw01895002002_02103_00004_nrca 110 -0.0086 0.0181 0.0011 0.0018 -0.0096 0.0008
jw01895002002_02103_00004_nrcb 75 0.0023 0.0268 0.0014 0.0016 -0.0026 0.0010
jw01895002003_03101_00001_nrca 58 -0.0107 0.0152 0.0012 0.0012 0.0027 0.0009
jw01895002003_03101_00001_nrcb 99 0.0106 0.0331 0.0016 0.0011 -0.0016 0.0010
jw01895002003_03101_00002_nrca 64 -0.0097 0.0169 0.0010 0.0011 0.0023 0.0009
jw01895002003_03101_00002_nrcb 95 0.0103 0.0357 0.0017 0.0013 -0.0017 0.0012
jw01895002003_03101_00003_nrca 66 -0.0145 0.0173 0.0012 0.0012 0.0031 0.0009
jw01895002003_03101_00003_nrcb 100 0.0077 0.0366 0.0017 0.0012 -0.0021 0.0010
jw01895002003_03101_00004_nrca 62 -0.0108 0.0200 0.0013 0.0013 0.0023 0.0011
jw01895002003_03101_00004_nrcb 102 0.0102 0.0386 0.0017 0.0012 -0.0021 0.0009
jw01895002003_03103_00001_nrca 69 -0.0122 0.0154 0.0012 0.0013 0.0031 0.0011
jw01895002003_03103_00001_nrcb 94 0.0062 0.0316 0.0017 0.0010 -0.0016 0.0011
jw01895002003_03103_00002_nrca 77 -0.0097 0.0149 0.0012 0.0013 0.0028 0.0011
jw01895002003_03103_00002_nrcb 92 0.0100 0.0356 0.0017 0.0013 -0.0019 0.0011
jw01895002003_03103_00003_nrca 72 -0.0145 0.0163 0.0013 0.0012 0.0014 0.0009
jw01895002003_03103_00003_nrcb 96 0.0063 0.0355 0.0015 0.0011 -0.0020 0.0009
jw01895002003_03103_00004_nrca 72 -0.0113 0.0201 0.0012 0.0014 0.0045 0.0012
jw01895002003_03103_00004_nrcb 96 0.0090 0.0378 0.0015 0.0009 -0.0025 0.0008
