# RA/Dec offsets are in arcsec and absolute
# i.e., cos(Dec) projection has been considered.
#   >> dRA  =  RA_daofind -  RA_gaia
#   >> dDEC = DEC_daofind - DEC_gaia
# generated on 2026/04/26
expName N_match dRA dDEC dRA_err dDEC_err theta theta_err
jw01895001001_02101_00001_nrca 46 -0.0275 0.0111 0.0015 0.0020 -0.0026 0.0008
jw01895001001_02101_00001_nrcb 94 -0.0345 -0.0012 0.0016 0.0013 -0.0068 0.0009
jw01895001001_02101_00002_nrca 49 -0.0244 0.0063 0.0014 0.0012 -0.0028 0.0008
jw01895001001_02101_00002_nrcb 92 -0.0327 -0.0072 0.0016 0.0012 -0.0079 0.0010
jw01895001001_02101_00003_nrca 53 -0.0251 0.0060 0.0011 0.0012 -0.0003 0.0008
jw01895001001_02101_00003_nrcb 95 -0.0332 -0.0058 0.0016 0.0013 -0.0093 0.0009
jw01895001001_02101_00004_nrca 49 -0.0257 0.0083 0.0013 0.0013 -0.0013 0.0009
jw01895001001_02101_00004_nrcb 98 -0.0316 -0.0025 0.0017 0.0015 -0.0093 0.0009
jw01895001001_04101_00001_nrca 44 -0.0266 0.0104 0.0012 0.0016 -0.0017 0.0009
jw01895001001_04101_00001_nrcb 96 -0.0342 -0.0036 0.0013 0.0013 -0.0072 0.0009
jw01895001001_04101_00002_nrca 46 -0.0240 0.0062 0.0015 0.0013 -0.0035 0.0009
jw01895001001_04101_00002_nrcb 89 -0.0323 -0.0077 0.0016 0.0012 -0.0067 0.0010
jw01895001001_04101_00003_nrca 49 -0.0249 0.0050 0.0011 0.0012 -0.0005 0.0008
jw01895001001_04101_00003_nrcb 96 -0.0345 -0.0066 0.0015 0.0014 -0.0072 0.0010
jw01895001001_04101_00004_nrca 46 -0.0240 0.0084 0.0014 0.0012 0.0001 0.0009
jw01895001001_04101_00004_nrcb 93 -0.0314 -0.0032 0.0013 0.0014 -0.0069 0.0008
jw01895001002_02101_00001_nrca 115 -0.0161 0.0079 0.0011 0.0013 -0.0024 0.0008
jw01895001002_02101_00001_nrcb 42 -0.0291 0.0016 0.0018 0.0020 -0.0031 0.0011
jw01895001002_02101_00002_nrca 91 -0.0156 0.0115 0.0013 0.0013 -0.0004 0.0009
jw01895001002_02101_00002_nrcb 44 -0.0280 0.0069 0.0008 0.0009 -0.0019 0.0008
jw01895001002_02101_00003_nrca 89 -0.0170 0.0120 0.0013 0.0015 -0.0032 0.0009
jw01895001002_02101_00003_nrcb 40 -0.0294 0.0077 0.0014 0.0009 -0.0020 0.0007
jw01895001002_02101_00004_nrca 94 -0.0188 0.0115 0.0013 0.0012 -0.0011 0.0009
jw01895001002_02101_00004_nrcb 42 -0.0306 0.0060 0.0015 0.0020 -0.0029 0.0007
jw01895001002_04101_00001_nrca 117 -0.0156 0.0073 0.0014 0.0014 -0.0024 0.0008
jw01895001002_04101_00001_nrcb 37 -0.0275 0.0026 0.0017 0.0010 -0.0035 0.0009
jw01895001002_04101_00002_nrca 98 -0.0152 0.0109 0.0012 0.0015 -0.0016 0.0009
jw01895001002_04101_00002_nrcb 42 -0.0272 0.0062 0.0014 0.0009 -0.0019 0.0008
jw01895001002_04101_00003_nrca 88 -0.0158 0.0132 0.0015 0.0016 -0.0015 0.0010
jw01895001002_04101_00003_nrcb 38 -0.0287 0.0077 0.0014 0.0009 -0.0020 0.0007
jw01895001002_04101_00004_nrca 107 -0.0173 0.0108 0.0016 0.0015 -0.0027 0.0009
jw01895001002_04101_00004_nrcb 38 -0.0294 0.0066 0.0016 0.0010 -0.0026 0.0008
jw01895001003_02101_00001_nrca 67 -0.0220 -0.0092 0.0014 0.0016 -0.0022 0.0011
jw01895001003_02101_00001_nrcb 81 -0.0247 -0.0137 0.0016 0.0012 -0.0042 0.0008
jw01895001003_02101_00002_nrca 62 -0.0206 -0.0067 0.0014 0.0014 -0.0010 0.0010
jw01895001003_02101_00002_nrcb 66 -0.0228 -0.0107 0.0021 0.0012 -0.0034 0.0010
jw01895001003_02101_00003_nrca 67 -0.0190 -0.0130 0.0012 0.0014 -0.0002 0.0010
jw01895001003_02101_00003_nrcb 72 -0.0234 -0.0151 0.0019 0.0012 -0.0029 0.0009
jw01895001003_02101_00004_nrca 61 -0.0191 -0.0135 0.0014 0.0017 -0.0002 0.0009
jw01895001003_02101_00004_nrcb 76 -0.0231 -0.0149 0.0018 0.0015 -0.0049 0.0009
jw01895001003_04101_00001_nrca 65 -0.0215 -0.0086 0.0017 0.0019 -0.0018 0.0010
jw01895001003_04101_00001_nrcb 79 -0.0239 -0.0132 0.0019 0.0012 -0.0038 0.0010
jw01895001003_04101_00002_nrca 69 -0.0215 -0.0078 0.0018 0.0015 -0.0025 0.0010
jw01895001003_04101_00002_nrcb 76 -0.0236 -0.0131 0.0020 0.0011 -0.0052 0.0010
jw01895001003_04101_00003_nrca 73 -0.0182 -0.0146 0.0018 0.0015 -0.0005 0.0010
jw01895001003_04101_00003_nrcb 70 -0.0230 -0.0154 0.0019 0.0012 -0.0052 0.0011
jw01895001003_04101_00004_nrca 66 -0.0206 -0.0131 0.0015 0.0017 -0.0009 0.0009
jw01895001003_04101_00004_nrcb 80 -0.0225 -0.0152 0.0019 0.0012 -0.0058 0.0010
jw01895001004_02101_00001_nrca 93 -0.0270 -0.0036 0.0017 0.0011 -0.0053 0.0009
jw01895001004_02101_00001_nrcb 97 -0.0333 -0.0102 0.0015 0.0010 -0.0033 0.0007
jw01895001004_02101_00002_nrca 87 -0.0253 -0.0072 0.0019 0.0013 -0.0054 0.0009
jw01895001004_02101_00002_nrcb 91 -0.0318 -0.0157 0.0017 0.0011 -0.0045 0.0009
jw01895001004_02101_00003_nrca 73 -0.0230 -0.0026 0.0019 0.0014 -0.0036 0.0007
jw01895001004_02101_00003_nrcb 89 -0.0287 -0.0100 0.0016 0.0011 -0.0051 0.0007
jw01895001004_02101_00004_nrca 79 -0.0254 -0.0056 0.0017 0.0011 -0.0040 0.0009
jw01895001004_02101_00004_nrcb 96 -0.0300 -0.0124 0.0015 0.0011 -0.0049 0.0008
jw01895001004_04101_00001_nrca 100 -0.0269 -0.0037 0.0017 0.0013 -0.0052 0.0008
jw01895001004_04101_00001_nrcb 102 -0.0323 -0.0108 0.0016 0.0010 -0.0052 0.0008
jw01895001004_04101_00002_nrca 92 -0.0249 -0.0074 0.0018 0.0012 -0.0064 0.0010
jw01895001004_04101_00002_nrcb 94 -0.0313 -0.0160 0.0018 0.0013 -0.0069 0.0009
jw01895001004_04101_00003_nrca 79 -0.0235 -0.0033 0.0020 0.0013 -0.0061 0.0010
jw01895001004_04101_00003_nrcb 94 -0.0288 -0.0115 0.0017 0.0011 -0.0064 0.0008
jw01895001004_04101_00004_nrca 94 -0.0250 -0.0051 0.0018 0.0012 -0.0057 0.0009
jw01895001004_04101_00004_nrcb 99 -0.0297 -0.0125 0.0017 0.0010 -0.0048 0.0008
jw01895001005_02101_00001_nrca 92 -0.0195 0.0107 0.0013 0.0011 0.0006 0.0008
jw01895001005_02101_00001_nrcb 90 -0.0258 -0.0013 0.0022 0.0013 -0.0023 0.0010
jw01895001005_02101_00002_nrca 89 -0.0210 0.0113 0.0013 0.0013 0.0009 0.0008
jw01895001005_02101_00002_nrcb 85 -0.0260 -0.0017 0.0020 0.0012 -0.0023 0.0011
jw01895001005_02101_00003_nrca 87 -0.0213 0.0103 0.0012 0.0013 0.0010 0.0008
jw01895001005_02101_00003_nrcb 84 -0.0273 -0.0032 0.0012 0.0013 -0.0027 0.0011
jw01895001005_02101_00004_nrca 84 -0.0222 0.0104 0.0014 0.0013 0.0006 0.0009
jw01895001005_02101_00004_nrcb 83 -0.0290 -0.0023 0.0013 0.0014 -0.0044 0.0012
jw01895001005_04101_00001_nrca 86 -0.0190 0.0097 0.0015 0.0013 -0.0000 0.0008
jw01895001005_04101_00001_nrcb 87 -0.0252 -0.0003 0.0022 0.0015 -0.0029 0.0011
jw01895001005_04101_00002_nrca 87 -0.0208 0.0094 0.0013 0.0014 0.0010 0.0008
jw01895001005_04101_00002_nrcb 86 -0.0253 -0.0020 0.0022 0.0013 -0.0009 0.0011
jw01895001005_04101_00003_nrca 79 -0.0219 0.0091 0.0012 0.0013 0.0011 0.0009
jw01895001005_04101_00003_nrcb 78 -0.0272 -0.0011 0.0019 0.0012 -0.0023 0.0010
jw01895001005_04101_00004_nrca 81 -0.0235 0.0088 0.0014 0.0014 0.0006 0.0010
jw01895001005_04101_00004_nrcb 84 -0.0269 -0.0009 0.0021 0.0019 -0.0034 0.0013
jw01895001006_02101_00001_nrca 74 -0.0299 0.0020 0.0011 0.0014 -0.0041 0.0007
