# RA/Dec offsets are in arcsec and absolute
# i.e., cos(Dec) projection has been considered.
#   >> dRA  =  RA_daofind -  RA_gaia
#   >> dDEC = DEC_daofind - DEC_gaia
# generated on 2026/04/06
expName N_match dRA dDEC dRA_err dDEC_err theta theta_err
jw03577002001_02101_00001_nrca 78 0.0130 0.0191 0.0015 0.0015 -0.0058 0.0012
jw03577002001_02101_00001_nrcb 68 0.0248 0.0212 0.0016 0.0021 -0.0013 0.0013
jw03577002001_02101_00002_nrca 72 0.0181 0.0157 0.0011 0.0016 -0.0037 0.0012
jw03577002001_02101_00002_nrcb 71 0.0312 0.0198 0.0020 0.0025 0.0016 0.0014
jw03577002001_02101_00003_nrca 72 0.0083 0.0163 0.0015 0.0018 -0.0040 0.0013
jw03577002001_02101_00003_nrcb 70 0.0220 0.0187 0.0016 0.0019 -0.0006 0.0012
jw03577002001_02101_00004_nrca 83 0.0101 0.0137 0.0015 0.0016 -0.0066 0.0011
jw03577002001_02101_00004_nrcb 68 0.0220 0.0146 0.0018 0.0027 -0.0014 0.0016
jw03577002001_04101_00001_nrca 79 0.0110 0.0180 0.0011 0.0017 -0.0060 0.0011
jw03577002001_04101_00001_nrcb 74 0.0243 0.0198 0.0012 0.0016 -0.0014 0.0011
jw03577002001_04101_00002_nrca 67 0.0170 0.0146 0.0014 0.0017 -0.0059 0.0013
jw03577002001_04101_00002_nrcb 76 0.0321 0.0167 0.0014 0.0019 -0.0013 0.0010
jw03577002001_04101_00003_nrca 71 0.0076 0.0163 0.0013 0.0018 -0.0049 0.0012
jw03577002001_04101_00003_nrcb 79 0.0224 0.0185 0.0010 0.0014 -0.0018 0.0010
jw03577002001_04101_00004_nrca 73 0.0080 0.0128 0.0012 0.0018 -0.0065 0.0011
jw03577002001_04101_00004_nrcb 75 0.0218 0.0143 0.0012 0.0021 -0.0016 0.0012
jw03577002002_02101_00001_nrca 80 0.0071 0.0134 0.0018 0.0014 -0.0127 0.0011
jw03577002002_02101_00001_nrcb 73 0.0203 0.0206 0.0020 0.0021 -0.0088 0.0017
jw03577002002_02101_00002_nrca 78 0.0057 0.0166 0.0015 0.0017 -0.0150 0.0009
jw03577002002_02101_00002_nrcb 75 0.0172 0.0202 0.0022 0.0019 -0.0097 0.0016
jw03577002002_02101_00003_nrca 77 0.0031 0.0141 0.0015 0.0018 -0.0136 0.0010
jw03577002002_02101_00003_nrcb 71 0.0151 0.0199 0.0020 0.0020 -0.0072 0.0016
jw03577002002_02101_00004_nrca 68 0.0055 0.0137 0.0019 0.0019 -0.0139 0.0010
jw03577002002_02101_00004_nrcb 70 0.0155 0.0210 0.0021 0.0019 -0.0071 0.0018
jw03577002002_04101_00001_nrca 79 0.0072 0.0152 0.0019 0.0016 -0.0135 0.0008
jw03577002002_04101_00001_nrcb 74 0.0200 0.0185 0.0019 0.0019 -0.0103 0.0014
jw03577002002_04101_00002_nrca 76 0.0053 0.0166 0.0016 0.0014 -0.0137 0.0008
jw03577002002_04101_00002_nrcb 81 0.0175 0.0208 0.0018 0.0018 -0.0092 0.0010
jw03577002002_04101_00003_nrca 73 0.0019 0.0140 0.0016 0.0014 -0.0136 0.0008
jw03577002002_04101_00003_nrcb 70 0.0127 0.0173 0.0015 0.0019 -0.0085 0.0013
